Name	Display Mode	Display Mode FourCC	Resolution Width	Resolution Height	Frame Duration	Time Scale	Frame Rate, per second	Frame Length, millisecond	Field Dominance	Field Dominance FourCC	Display Mode Flags	Pixel Formats
NTSC	bmdModeNTSC	ntsc	720	486	1001	30000	29.970	333666	bmdLowerFieldFirst	lowr	bmdDisplayModeColorspaceRec601	bmdFormat8BitYUV 2vuy, bmdFormat10BitYUV v210
PAL	bmdModePAL	pal 	720	576	1000	25000	25.000	400000	bmdUpperFieldFirst	uppr	bmdDisplayModeColorspaceRec601	bmdFormat8BitYUV 2vuy, bmdFormat10BitYUV v210
1080p23.98	bmdModeHD1080p2398	23ps	1920	1080	1001	24000	23.976	417083	bmdProgressiveFrame	prog	bmdDisplayModeColorspaceRec709	bmdFormat8BitYUV 2vuy, bmdFormat10BitYUV v210, bmdFormat8BitARGB , bmdFormat8BitBGRA BGRA, bmdFormat10BitRGB r210, bmdFormat12BitRGB R12B, bmdFormat12BitRGBLE R12L, bmdFormat10BitRGBXLE R10l, bmdFormat10BitRGBX R10b, bmdFormat10BitRGBXLE_FULL R10L, bmdFormat10BitRGBX_FULL R10B
1080p24	bmdModeHD1080p24	24ps	1920	1080	1000	24000	24.000	416666	bmdProgressiveFrame	prog	bmdDisplayModeColorspaceRec709	bmdFormat8BitYUV 2vuy, bmdFormat10BitYUV v210, bmdFormat8BitARGB , bmdFormat8BitBGRA BGRA, bmdFormat10BitRGB r210, bmdFormat12BitRGB R12B, bmdFormat12BitRGBLE R12L, bmdFormat10BitRGBXLE R10l, bmdFormat10BitRGBX R10b, bmdFormat10BitRGBXLE_FULL R10L, bmdFormat10BitRGBX_FULL R10B
1080p25	bmdModeHD1080p25	Hp25	1920	1080	1000	25000	25.000	400000	bmdProgressiveFrame	prog	bmdDisplayModeColorspaceRec709	bmdFormat8BitYUV 2vuy, bmdFormat10BitYUV v210, bmdFormat8BitARGB , bmdFormat8BitBGRA BGRA, bmdFormat10BitRGB r210, bmdFormat12BitRGB R12B, bmdFormat12BitRGBLE R12L, bmdFormat10BitRGBXLE R10l, bmdFormat10BitRGBX R10b, bmdFormat10BitRGBXLE_FULL R10L, bmdFormat10BitRGBX_FULL R10B
1080p29.97	bmdModeHD1080p2997	Hp29	1920	1080	1001	30000	29.970	333666	bmdProgressiveFrame	prog	bmdDisplayModeColorspaceRec709	bmdFormat8BitYUV 2vuy, bmdFormat10BitYUV v210, bmdFormat8BitARGB , bmdFormat8BitBGRA BGRA, bmdFormat10BitRGB r210, bmdFormat12BitRGB R12B, bmdFormat12BitRGBLE R12L, bmdFormat10BitRGBXLE R10l, bmdFormat10BitRGBX R10b, bmdFormat10BitRGBXLE_FULL R10L, bmdFormat10BitRGBX_FULL R10B
1080p30	bmdModeHD1080p30	Hp30	1920	1080	1000	30000	30.000	333333	bmdProgressiveFrame	prog	bmdDisplayModeColorspaceRec709	bmdFormat8BitYUV 2vuy, bmdFormat10BitYUV v210, bmdFormat8BitARGB , bmdFormat8BitBGRA BGRA, bmdFormat10BitRGB r210, bmdFormat12BitRGB R12B, bmdFormat12BitRGBLE R12L, bmdFormat10BitRGBXLE R10l, bmdFormat10BitRGBX R10b, bmdFormat10BitRGBXLE_FULL R10L, bmdFormat10BitRGBX_FULL R10B
1080i50	bmdModeHD1080i50	Hi50	1920	1080	1000	25000	25.000	400000	bmdUpperFieldFirst	uppr	bmdDisplayModeColorspaceRec709	bmdFormat8BitYUV 2vuy, bmdFormat10BitYUV v210, bmdFormat8BitARGB , bmdFormat8BitBGRA BGRA, bmdFormat10BitRGB r210, bmdFormat12BitRGB R12B, bmdFormat12BitRGBLE R12L, bmdFormat10BitRGBXLE R10l, bmdFormat10BitRGBX R10b, bmdFormat10BitRGBXLE_FULL R10L, bmdFormat10BitRGBX_FULL R10B
1080i59.94	bmdModeHD1080i5994	Hi59	1920	1080	1001	30000	29.970	333666	bmdUpperFieldFirst	uppr	bmdDisplayModeColorspaceRec709	bmdFormat8BitYUV 2vuy, bmdFormat10BitYUV v210, bmdFormat8BitARGB , bmdFormat8BitBGRA BGRA, bmdFormat10BitRGB r210, bmdFormat12BitRGB R12B, bmdFormat12BitRGBLE R12L, bmdFormat10BitRGBXLE R10l, bmdFormat10BitRGBX R10b, bmdFormat10BitRGBXLE_FULL R10L, bmdFormat10BitRGBX_FULL R10B
1080i60	bmdModeHD1080i6000	Hi60	1920	1080	1000	30000	30.000	333333	bmdUpperFieldFirst	uppr	bmdDisplayModeColorspaceRec709	bmdFormat8BitYUV 2vuy, bmdFormat10BitYUV v210, bmdFormat8BitARGB , bmdFormat8BitBGRA BGRA, bmdFormat10BitRGB r210, bmdFormat12BitRGB R12B, bmdFormat12BitRGBLE R12L, bmdFormat10BitRGBXLE R10l, bmdFormat10BitRGBX R10b, bmdFormat10BitRGBXLE_FULL R10L, bmdFormat10BitRGBX_FULL R10B
